"Campaign","Campaign Type","Budget","Ad Group","Max CPC","Criterion Type","Keyword","Headline 1","Headline 2","Headline 3","Headline 4","Headline 5","Headline 6","Headline 7","Headline 8","Headline 9","Headline 10","Headline 11","Headline 12","Headline 13","Headline 14","Headline 15","Description 1","Description 2","Description 3","Description 4","Path 1","Path 2","Final URL"
"Weissmann AI - KI-Telefonassistent Search","Search","25","","","Negative","jobs","","","","","","","","","","","","","","","","","","","","","",""
"Weissmann AI - KI-Telefonassistent Search","Search","25","","","Negative","job","","","","","","","","","","","","","","","","","","","","","",""
"Weissmann AI - KI-Telefonassistent Search","Search","25","","","Negative","stelle","","","","","","","","","","","","","","","","","","","","","",""
"Weissmann AI - KI-Telefonassistent Search","Search","25","","","Negative","stellenangebot","","","","","","","","","","","","","","","","","","","","","",""
"Weissmann AI - KI-Telefonassistent Search","Search","25","","","Negative","praktikum","","","","","","","","","","","","","","","","","","","","","",""
"Weissmann AI - KI-Telefonassistent Search","Search","25","","","Negative","ausbildung","","","","","","","","","","","","","","","","","","","","","",""
"Weissmann AI - KI-Telefonassistent Search","Search","25","","","Negative","gehalt","","","","","","","","","","","","","","","","","","","","","",""
"Weissmann AI - KI-Telefonassistent Search","Search","25","","","Negative","lohn","","","","","","","","","","","","","","","","","","","","","",""
"Weissmann AI - KI-Telefonassistent Search","Search","25","","","Negative","gratis","","","","","","","","","","","","","","","","","","","","","",""
"Weissmann AI - KI-Telefonassistent Search","Search","25","","","Negative","kostenlos","","","","","","","","","","","","","","","","","","","","","",""
"Weissmann AI - KI-Telefonassistent Search","Search","25","","","Negative","kostenlose","","","","","","","","","","","","","","","","","","","","","",""
"Weissmann AI - KI-Telefonassistent Search","Search","25","","","Negative","free","","","","","","","","","","","","","","","","","","","","","",""
"Weissmann AI - KI-Telefonassistent Search","Search","25","","","Negative","umsonst","","","","","","","","","","","","","","","","","","","","","",""
"Weissmann AI - KI-Telefonassistent Search","Search","25","","","Negative","download","","","","","","","","","","","","","","","","","","","","","",""
"Weissmann AI - KI-Telefonassistent Search","Search","25","","","Negative","tutorial","","","","","","","","","","","","","","","","","","","","","",""
"Weissmann AI - KI-Telefonassistent Search","Search","25","","","Negative","anleitung","","","","","","","","","","","","","","","","","","","","","",""
"Weissmann AI - KI-Telefonassistent Search","Search","25","","","Negative","selber bauen","","","","","","","","","","","","","","","","","","","","","",""
"Weissmann AI - KI-Telefonassistent Search","Search","25","","","Negative","open source","","","","","","","","","","","","","","","","","","","","","",""
"Weissmann AI - KI-Telefonassistent Search","Search","25","","","Negative","github","","","","","","","","","","","","","","","","","","","","","",""
"Weissmann AI - KI-Telefonassistent Search","Search","25","","","Negative","python","","","","","","","","","","","","","","","","","","","","","",""
"Weissmann AI - KI-Telefonassistent Search","Search","25","","","Negative","definition","","","","","","","","","","","","","","","","","","","","","",""
"Weissmann AI - KI-Telefonassistent Search","Search","25","","","Negative","was ist","","","","","","","","","","","","","","","","","","","","","",""
"Weissmann AI - KI-Telefonassistent Search","Search","25","","","Negative","wikipedia","","","","","","","","","","","","","","","","","","","","","",""
"Weissmann AI - KI-Telefonassistent Search","Search","25","AG1 - KI-Telefonassistent","3.50","Phrase","ki telefonassistent","","","","","","","","","","","","","","","","","","","","","",""
"Weissmann AI - KI-Telefonassistent Search","Search","25","AG1 - KI-Telefonassistent","3.50","Exact","ki telefonassistent","","","","","","","","","","","","","","","","","","","","","",""
"Weissmann AI - KI-Telefonassistent Search","Search","25","AG1 - KI-Telefonassistent","3.50","Phrase","ki telefonassistent schweiz","","","","","","","","","","","","","","","","","","","","","",""
"Weissmann AI - KI-Telefonassistent Search","Search","25","AG1 - KI-Telefonassistent","3.50","Exact","ki telefonassistent schweiz","","","","","","","","","","","","","","","","","","","","","",""
"Weissmann AI - KI-Telefonassistent Search","Search","25","AG1 - KI-Telefonassistent","3.50","Phrase","ki telefonassistent kmu","","","","","","","","","","","","","","","","","","","","","",""
"Weissmann AI - KI-Telefonassistent Search","Search","25","AG1 - KI-Telefonassistent","3.50","Phrase","telefonassistent ki","","","","","","","","","","","","","","","","","","","","","",""
"Weissmann AI - KI-Telefonassistent Search","Search","25","AG1 - KI-Telefonassistent","3.50","Phrase","ki telefonassistent buchen","","","","","","","","","","","","","","","","","","","","","",""
"Weissmann AI - KI-Telefonassistent Search","Search","25","AG1 - KI-Telefonassistent","3.50","Phrase","ki telefonassistent kaufen","","","","","","","","","","","","","","","","","","","","","",""
"Weissmann AI - KI-Telefonassistent Search","Search","25","AG1 - KI-Telefonassistent","3.50","Phrase","ki telefonassistent preis","","","","","","","","","","","","","","","","","","","","","",""
"Weissmann AI - KI-Telefonassistent Search","Search","25","AG1 - KI-Telefonassistent","3.50","Phrase","ki telefon assistent","","","","","","","","","","","","","","","","","","","","","",""
"Weissmann AI - KI-Telefonassistent Search","Search","25","AG1 - KI-Telefonassistent","3.50","Phrase","ki telefonagent","","","","","","","","","","","","","","","","","","","","","",""
"Weissmann AI - KI-Telefonassistent Search","Search","25","AG1 - KI-Telefonassistent","3.50","Phrase","ki telefonassistent anbieter","","","","","","","","","","","","","","","","","","","","","",""
"Weissmann AI - KI-Telefonassistent Search","Search","25","AG1 - KI-Telefonassistent","3.50","Phrase","telefonassistent künstliche intelligenz","","","","","","","","","","","","","","","","","","","","","",""
"Weissmann AI - KI-Telefonassistent Search","Search","25","AG1 - KI-Telefonassistent","3.50","Phrase","ki telefonassistent für unternehmen","","","","","","","","","","","","","","","","","","","","","",""
"Weissmann AI - KI-Telefonassistent Search","Search","25","AG1 - KI-Telefonassistent","","","","KI-Telefonassistent","Kein Anruf mehr verpasst","Ab CHF 350/Monat","24/7 DE-EN-FR-IT","Live testen","24/7 erreichbar","Termine automatisch buchen","KI beantwortet Anrufe","Nie wieder besetzt","Leads automatisch erfassen","Übergabe an Ihr Team","Swiss Made KI-Telefonie","Für Schweizer KMU","Anrufe rund um die Uhr","Zusammenfassung per Mail","Unsere KI beantwortet Ihre Anrufe rund um die Uhr, bucht Termine und qualifiziert Leads.","Kein verpasster Anruf mehr: 24/7 auf Deutsch, Englisch, Französisch und Italienisch.","Live testen unter +41 56 539 18 67 und die KI selbst am Telefon erleben.","Ab CHF 350 pro Monat. Übergabe an Ihr Team und Zusammenfassung per WhatsApp oder E-Mail.","KI-Telefon","Schweiz","https://weissmann.ai/ki-telefonassistent/"
"Weissmann AI - KI-Telefonassistent Search","Search","25","AG2 - Anrufbeantworter virtuelle Telefonistin","3.00","Phrase","ki anrufbeantworter","","","","","","","","","","","","","","","","","","","","","",""
"Weissmann AI - KI-Telefonassistent Search","Search","25","AG2 - Anrufbeantworter virtuelle Telefonistin","3.00","Exact","ki anrufbeantworter","","","","","","","","","","","","","","","","","","","","","",""
"Weissmann AI - KI-Telefonassistent Search","Search","25","AG2 - Anrufbeantworter virtuelle Telefonistin","3.00","Phrase","virtuelle telefonistin","","","","","","","","","","","","","","","","","","","","","",""
"Weissmann AI - KI-Telefonassistent Search","Search","25","AG2 - Anrufbeantworter virtuelle Telefonistin","3.00","Exact","virtuelle telefonistin","","","","","","","","","","","","","","","","","","","","","",""
"Weissmann AI - KI-Telefonassistent Search","Search","25","AG2 - Anrufbeantworter virtuelle Telefonistin","3.00","Phrase","virtueller telefonassistent","","","","","","","","","","","","","","","","","","","","","",""
"Weissmann AI - KI-Telefonassistent Search","Search","25","AG2 - Anrufbeantworter virtuelle Telefonistin","3.00","Phrase","automatischer anrufbeantworter firma","","","","","","","","","","","","","","","","","","","","","",""
"Weissmann AI - KI-Telefonassistent Search","Search","25","AG2 - Anrufbeantworter virtuelle Telefonistin","3.00","Phrase","ki telefonservice","","","","","","","","","","","","","","","","","","","","","",""
"Weissmann AI - KI-Telefonassistent Search","Search","25","AG2 - Anrufbeantworter virtuelle Telefonistin","3.00","Phrase","telefonservice ki","","","","","","","","","","","","","","","","","","","","","",""
"Weissmann AI - KI-Telefonassistent Search","Search","25","AG2 - Anrufbeantworter virtuelle Telefonistin","3.00","Phrase","anrufbeantworter für firmen","","","","","","","","","","","","","","","","","","","","","",""
